,Elec_Siem,Heat_Siem,Elec_CZ,scSi_CZ,RT_movpe,P_movpe_tool,Zeol_scrub,Cu_zeol,Cu_rec,pi_NPsynthCu,bin_NPsynthCu,pi_NPsynthAg,bin_NPsynthAg,pi_CuSint,bin_CuSint,pi_AgSint,bin_AgSint,pi_FM,bin_FM,Al_panel,Glass_panel,Elec_panel,Eff_PV,PR_PV,LT
1,36.11454714,60.64465055,50.01611221,0.54354902,1.225511002,46.92394553,6.225845085,0.444575215,1,0.710839049,0,0.687956473,0,0,0,0.249632046,1,0.522766388,1,1.691402348,5.421461171,13.82760232,0.288690445,0.870578991,28.43440245
2,40.95105493,70.07620483,45.95260491,0.58259494,2.465799048,82.0830097,5.316645424,0.445745334,0,0.731135713,1,0.738618956,1,0,0,0.842107615,0,0.772133459,1,1.981681363,7.252304881,12.40603397,0.300430699,0.846819509,34.44022637
3,36.50474595,72.80527602,48.86374675,0.672006896,1.733119121,61.04222428,6.699890703,0.3696019,0,0.746177164,1,0.73520715,1,0,0,0.998089508,1,0.312754981,0,1.821955929,6.134678185,14.18071906,0.263093702,0.84389096,31.97769033
4,44.05220937,72.85539193,55.3866493,0.547792717,1.068453304,84.78210267,6.809051784,0.321496505,0,0.675929677,1,0.702260885,1,0,0,0.334869729,1,0.909401111,0,1.959885569,6.685689667,13.62763267,0.284891753,0.813853487,34.51632848
5,43.25157606,61.66938728,53.44165338,0.659847442,2.524494939,30.08042246,5.96769416,0.218562864,0,0.672785197,1,0.662042344,1,0,0,0.798473231,1,0.736549598,0,1.672700442,6.251477516,12.41508467,0.279598852,0.858823756,32.30007443
6,35.7920664,69.22537565,66.05251046,0.664358483,2.363814748,99.04018203,6.376317149,0.372375845,1,0.747484231,1,0.758776574,1,0,0,0.454918937,1,0.780371755,1,1.885205129,6.50680759,13.01508126,0.25361616,0.835681895,33.84528836
7,35.39892993,60.69605824,54.33479283,0.580807902,2.082577448,85.47174076,7.459167762,0.393538372,1,0.701861786,1,0.722546707,1,0,0,0.929400295,1,0.77626259,1,1.74885374,6.951798245,14.32746435,0.261728024,0.870436506,26.01692408
8,40.00056515,62.15811929,49.02858725,0.528033775,1.933818287,67.52699329,6.379362376,0.351721462,1,0.619567725,1,0.789377983,1,0,0,0.725143813,0,0.213168906,0,1.953404952,5.157254294,12.3352593,0.270351449,0.845103221,25.79682086
9,36.35117384,59.68129336,49.94149163,0.68904457,2.330317702,106.6689147,6.032541627,0.399707,1,0.717675771,0,0.635252171,0,0,0,0.287269637,0,0.464133958,0,1.613155436,6.670471777,14.41213126,0.290739259,0.879330797,30.81389032
10,39.94870775,72.95662198,63.99967045,0.478948518,2.443197777,68.80311793,7.056205036,0.33330691,1,0.70272038,1,0.751618081,1,0,0,0.256670742,0,0.584056439,0,1.821896364,5.976775589,14.57686835,0.296994392,0.854945364,32.91719404
11,41.21238714,64.44387638,60.08102475,0.610531099,2.23615768,78.6414286,6.918915437,0.241887393,1,0.627103814,1,0.659607073,1,0,0,0.128007589,0,0.786142317,1,1.604122718,7.279669426,12.26392273,0.289038616,0.829706894,31.98611487
12,34.51641427,61.71190267,44.67478874,0.669509831,2.253440848,84.74682529,6.734279605,0.441098677,1,0.62038709,1,0.653206959,0,0,0,0.842069846,1,0.465944813,0,1.602301139,7.21960406,14.51369733,0.2904586,0.856635881,27.56661503
13,35.21692299,57.76396778,44.17119796,0.554843745,2.552041492,85.83187088,5.785552776,0.229346465,0,0.709586467,1,0.662998773,0,0,0,0.395607382,0,0.641603378,0,1.829225257,5.772120078,12.67227944,0.285224522,0.854053527,30.9767902
14,34.24863655,67.95942004,69.01101298,0.714302983,2.427554117,55.0429549,7.638773247,0.281394332,1,0.693220064,1,0.627336049,0,0,0,0.538056404,0,0.875246247,1,1.763749534,5.857153932,14.60228569,0.270747913,0.845169608,24.9309969
15,35.198706,63.06038232,67.82816061,0.455383656,2.595410569,37.41216064,7.069000538,0.311246585,1,0.742373183,0,0.695384804,1,0,0,0.074550678,0,0.930924881,1,1.688772181,5.327951047,12.31878663,0.286838705,0.85860056,35.45914593
16,42.72497593,70.05906786,63.21436964,0.644553898,2.326809952,104.6067487,3.69367733,0.274680078,0,0.698620412,1,0.727002,1,0,0,0.105166733,0,0.589319046,0,1.744735416,5.773932586,13.03590142,0.281291266,0.828082808,33.04204373
17,40.69049508,64.84798609,58.76855717,0.405738822,2.440701759,88.27587987,6.367990813,0.413946335,0,0.713236944,1,0.641740008,1,0,0,0.338028342,0,0.582464147,0,1.677868107,7.488027602,13.74372988,0.274165221,0.846048817,27.90851162
18,40.33276693,57.6384861,65.40979166,0.579714012,1.94997782,106.7191555,5.596574455,0.285882667,0,0.762865685,1,0.745167067,1,0,0,0.783552273,1,0.660515969,1,1.818866355,5.169593993,13.85256584,0.271555784,0.847760468,31.9309551
19,38.02582892,66.36075458,53.73931406,0.599244942,2.592372908,108.0910748,4.316132831,0.325414252,0,0.671111009,1,0.738455431,1,0,0,0.162536768,0,0.432383059,1,1.834980694,5.252104056,14.52446267,0.295828067,0.849488062,31.68982519
20,34.87952255,68.82593816,51.82798883,0.603967603,2.011556074,50.06013719,4.647400914,0.395313943,0,0.735507472,1,0.644521731,0,0,0,0.599725896,1,0.792609252,1,1.608253879,5.962492885,13.38140395,0.26572363,0.876658508,36.24851262
21,39.43546705,64.20675959,66.93291607,0.624912398,2.488374577,40.29682525,5.230284208,0.392963018,1,0.716519314,1,0.769957239,1,0,0,0.128494695,0,0.664932319,1,1.735979866,6.91641983,12.37176219,0.286988185,0.838807286,36.33797038
22,38.21698701,73.29043476,68.75567663,0.520393578,2.273998199,115.8112705,3.930947875,0.328463497,1,0.680910329,1,0.624738491,1,0,0,0.303223631,0,0.55248042,1,1.871477268,5.098571938,12.85960772,0.288127029,0.847736002,20.58908989
23,35.2079736,61.29473139,67.49835405,0.728284037,2.236931936,75.17953576,6.711841385,0.33137688,0,0.710943216,1,0.765928599,0,0,0,0.550414371,1,0.772838939,0,1.744255993,5.702353155,14.47212427,0.274224859,0.830854177,40.07506977
24,34.52020538,59.26091479,58.83960824,0.522995965,2.585177024,117.1807316,3.879258693,0.234959789,1,0.741850202,1,0.617968904,1,0,0,0.03527992,0,0.416224766,0,1.994304812,5.914230789,14.5326669,0.270834472,0.864910395,31.90300362
25,42.40018839,59.85010344,44.38576626,0.646919651,2.188543418,98.42245143,3.251455019,0.354186292,1,0.648787617,1,0.747350181,1,0,0,0.465047843,1,0.90075345,0,1.815404389,7.14133672,14.16029077,0.300037011,0.835186821,21.83165875
26,41.11084957,66.33408618,64.88649323,0.735018123,2.219862447,99.11177434,7.626032814,0.315298857,1,0.715736976,1,0.663961674,1,0,0,0.422874546,0,0.674304746,1,1.684759108,6.771746654,13.41314961,0.271034717,0.856518291,27.72177112
27,39.15417398,74.37291116,62.37716888,0.614074286,1.94989522,89.64953334,5.785142693,0.347625112,1,0.662243923,1,0.7056178,1,0,0,0.667772437,0,0.741593703,1,1.917414454,5.264172288,14.46745853,0.277289297,0.842246545,27.66085056
28,36.87985478,65.89234948,50.28323543,0.634571627,2.550339493,115.5992112,4.981174562,0.241819743,0,0.647124002,0,0.664943963,0,0,0,0.984309337,1,0.824393493,1,1.743945644,6.859425076,12.75541551,0.279062623,0.848471823,30.67567776
29,39.31600981,59.2116705,61.39393198,0.566705903,2.379402251,112.007889,6.762288087,0.445931319,0,0.731548983,1,0.614761581,1,0,0,0.294652826,0,0.607810018,0,1.918289028,6.110422324,14.6672755,0.268176526,0.868194977,30.48777289
